Martial Status,Sex,Year,Age,Education,Job,Skill Level,Area Type,Type of unemployment
Married,Both,2019,15,Advanced,Car driver,medium,Urban,Don't have a job
NaN,Male,2005,43,Less than basic,Accountant,medium,Rural,Don't have a job
NaN,Male,2023,55,NaN,Car driver,No skill,National,Don't have a job
Married,Both,2022,48,NaN,IT Developer,medium,National,Have a job
Single,Male,2007,64,Less than basic,IT Developer,low,National,Have a job
Married,Female,2002,22,Less than basic,Artist,No skill,National,Have a job
NaN,Female,2001,62,NaN,Accountant,advanced,Rural,Don't have a job
Single,Male,2008,60,NaN,Accountant,advanced,Rural,Don't have a job
Married,Female,2006,50,NaN,Doctor,low,National,Don't have a job
Divorced of separated legally,Both,2008,61,Basic,Teacher,medium,Rural,Don't have a job
Single,Both,2001,44,Less than basic,Artist,low,Urban,Have a job
Divorced of separated legally,Male,2018,28,Intermediate,Doctor,medium,National,Have a job
Widowed,Female,2011,48,Less than basic,Teacher,No skill,Urban,Have a job
Single,Male,2014,47,Basic,Artist,NaN,Urban,Don't have a job
Widowed,Male,2014,39,Basic,Architect,medium,Urban,Don't have a job
NaN,Female,2014,23,Basic,Banker,low,Rural,Have a job
Widowed,Both,2001,64,Basic,Accountant,medium,National,Have a job
Divorced of separated legally,Female,2020,21,Less than basic,Doctor,No skill,Urban,Have a job
NaN,Female,2023,41,Intermediate,Artist,low,Rural,Don't have a job
NaN,Male,2001,20,Advanced,Banker,low,Rural,Have a job
Married,Both,2003,37,Intermediate,Banker,NaN,Rural,Have a job
Married,Female,2023,38,Basic,Teacher,low,National,Have a job
NaN,Male,2023,22,Basic,Car driver,No skill,Urban,Have a job
NaN,Both,2004,65,Intermediate,Accountant,low,Rural,Have a job
Divorced of separated legally,Male,2014,39,Intermediate,Architect,NaN,Urban,Have a job
Single,Both,2015,40,Less than basic,Banker,medium,Urban,Don't have a job
Single,Female,2003,23,Intermediate,Car driver,advanced,Urban,Have a job
Married,Female,2011,61,NaN,Artist,advanced,National,Have a job
Divorced of separated legally,Both,2003,65,Less than basic,Artist,advanced,Urban,Don't have a job
Divorced of separated legally,Both,2003,55,Basic,Accountant,No skill,Urban,Have a job
Single,Female,2009,52,NaN,Teacher,advanced,National,Don't have a job
Widowed,Both,2014,35,Basic,Doctor,advanced,Rural,Have a job
Married,Female,2009,20,Intermediate,Accountant,advanced,Urban,Don't have a job
Divorced of separated legally,Both,2016,20,Basic,Accountant,advanced,National,Have a job
Married,Male,2010,36,Basic,Accountant,NaN,Rural,Have a job
NaN,Female,2006,40,NaN,Teacher,medium,Urban,Have a job
NaN,Male,2012,65,Less than basic,Accountant,medium,National,Don't have a job
Single,Female,2011,43,Intermediate,Banker,NaN,National,Have a job
Widowed,Male,2011,46,Intermediate,Teacher,No skill,National,Have a job
Divorced of separated legally,Male,2014,53,Basic,Car driver,NaN,Urban,Have a job
Divorced of separated legally,Both,2008,40,Less than basic,Teacher,medium,National,Have a job
Divorced of separated legally,Both,2022,30,Intermediate,Banker,No skill,National,Have a job
Widowed,Female,2007,57,Intermediate,Banker,medium,Rural,Have a job
Married,Male,2017,63,Less than basic,Accountant,low,National,Have a job
NaN,Female,2005,35,NaN,Car driver,NaN,National,Have a job
Widowed,Both,2011,58,NaN,Banker,No skill,Urban,Don't have a job
NaN,Female,2015,26,NaN,Artist,low,Rural,Don't have a job
Divorced of separated legally,Male,2008,21,Intermediate,Car driver,No skill,Rural,Have a job
Widowed,Both,2013,41,NaN,Teacher,NaN,Rural,Don't have a job
NaN,Female,2018,41,NaN,Car driver,low,National,Have a job
Divorced of separated legally,Male,2009,24,Basic,Accountant,No skill,National,Don't have a job
Single,Female,2015,53,NaN,Car driver,advanced,National,Have a job
NaN,Female,2020,19,Less than basic,Car driver,advanced,Rural,Don't have a job
Single,Both,2022,48,Intermediate,Doctor,advanced,Rural,Don't have a job
Divorced of separated legally,Female,2004,59,Less than basic,Car driver,low,Rural,Don't have a job
Widowed,Both,2014,60,Less than basic,Artist,advanced,Rural,Have a job
NaN,Both,2022,59,Less than basic,IT Developer,medium,Rural,Don't have a job
Single,Male,2017,37,Less than basic,Doctor,medium,National,Have a job
Divorced of separated legally,Female,2002,39,Basic,Doctor,No skill,National,Don't have a job
Married,Male,2014,32,NaN,Doctor,medium,Urban,Have a job
Single,Both,2016,19,Less than basic,Banker,medium,Urban,Have a job
Married,Both,2012,54,NaN,Artist,low,Rural,Have a job
Widowed,Both,2022,52,Basic,Artist,advanced,Urban,Have a job
NaN,Female,2022,37,NaN,Artist,advanced,Urban,Don't have a job
Widowed,Female,2005,37,Less than basic,Architect,NaN,Rural,Don't have a job
Single,Both,2015,38,Basic,Artist,NaN,National,Have a job
NaN,Female,2018,55,Advanced,Accountant,advanced,Rural,Don't have a job
Married,Male,2006,37,Advanced,IT Developer,No skill,Rural,Don't have a job
NaN,Male,2021,59,Advanced,IT Developer,No skill,National,Don't have a job
Widowed,Female,2011,49,Basic,Car driver,low,Rural,Have a job
Married,Both,2019,53,Less than basic,Accountant,advanced,Rural,Have a job
Widowed,Male,2019,41,Advanced,IT Developer,No skill,Rural,Don't have a job
NaN,Male,2012,43,Advanced,Architect,No skill,Urban,Don't have a job
Divorced of separated legally,Both,2003,63,Intermediate,Artist,No skill,National,Don't have a job
Married,Male,2020,50,NaN,Banker,medium,Rural,Have a job
NaN,Both,2007,53,Less than basic,Artist,low,Rural,Don't have a job
Single,Female,2008,44,Intermediate,Artist,NaN,National,Don't have a job
Widowed,Both,2018,42,Less than basic,Doctor,NaN,Urban,Have a job
Single,Both,2009,54,NaN,Banker,low,Urban,Have a job
Married,Male,2008,62,Less than basic,Accountant,low,National,Don't have a job
Married,Male,2018,65,Intermediate,Architect,medium,National,Have a job
NaN,Male,2014,64,Basic,Doctor,medium,National,Don't have a job
NaN,Male,2017,17,Basic,Accountant,low,National,Have a job
Married,Both,2022,21,NaN,Doctor,advanced,National,Don't have a job
Married,Male,2006,43,NaN,Banker,medium,National,Don't have a job
Married,Female,2002,46,Less than basic,Artist,No skill,Urban,Don't have a job
Widowed,Both,2014,39,Basic,Banker,medium,National,Don't have a job
Married,Male,2023,22,Intermediate,Teacher,No skill,Rural,Don't have a job
NaN,Female,2019,22,Intermediate,Doctor,NaN,Rural,Have a job
Married,Female,2017,51,Advanced,Teacher,advanced,Rural,Don't have a job
Divorced of separated legally,Female,2007,40,Less than basic,Artist,medium,Urban,Don't have a job
Single,Male,2018,40,Less than basic,Accountant,advanced,Urban,Don't have a job
Single,Female,2012,56,Less than basic,Accountant,low,Urban,Don't have a job
Married,Male,2008,46,Advanced,Doctor,No skill,Urban,Don't have a job
Married,Female,2009,22,Less than basic,Car driver,No skill,National,Don't have a job
Widowed,Male,2014,31,NaN,Teacher,advanced,Urban,Don't have a job
Widowed,Male,2018,43,Intermediate,Accountant,advanced,National,Have a job
Single,Female,2006,64,Basic,Teacher,No skill,Urban,Have a job
Single,Male,2018,65,Advanced,Doctor,NaN,National,Have a job
Single,Female,2021,50,Advanced,Banker,low,Urban,Have a job
Single,Male,2010,30,Advanced,Car driver,NaN,National,Have a job
Married,Female,2022,53,Less than basic,Artist,low,National,Have a job
Widowed,Female,2002,28,Intermediate,IT Developer,NaN,Urban,Have a job
Divorced of separated legally,Male,2019,35,Advanced,Architect,NaN,Urban,Don't have a job
NaN,Male,2006,31,Advanced,Teacher,NaN,National,Have a job
Single,Female,2009,56,Intermediate,Architect,low,National,Have a job
Divorced of separated legally,Male,2007,25,Less than basic,Artist,advanced,Rural,Have a job
Married,Male,2005,32,NaN,Accountant,No skill,National,Have a job
NaN,Female,2019,28,Intermediate,Car driver,advanced,National,Don't have a job
Divorced of separated legally,Both,2023,17,Basic,Car driver,No skill,National,Have a job
Divorced of separated legally,Both,2011,33,Basic,IT Developer,NaN,Rural,Don't have a job
Married,Both,2015,30,Basic,Teacher,advanced,Rural,Have a job
Divorced of separated legally,Male,2011,26,Advanced,Banker,No skill,Urban,Don't have a job
Married,Female,2005,35,Intermediate,Accountant,low,Rural,Have a job
NaN,Both,2021,15,Basic,Architect,advanced,National,Have a job
Married,Male,2001,33,Intermediate,Doctor,NaN,National,Don't have a job
Single,Both,2020,64,Less than basic,Doctor,advanced,National,Don't have a job
Single,Female,2006,40,Basic,Banker,advanced,National,Have a job
Widowed,Both,2003,16,Basic,Architect,NaN,Rural,Don't have a job
NaN,Male,2008,18,NaN,Teacher,advanced,Rural,Don't have a job
Married,Both,2009,21,Advanced,Artist,medium,Urban,Don't have a job
Married,Both,2007,49,Less than basic,Teacher,NaN,Rural,Have a job
Widowed,Male,2001,36,NaN,Accountant,No skill,Rural,Don't have a job
NaN,Female,2009,50,Less than basic,Accountant,NaN,Urban,Have a job
Married,Both,2019,58,Basic,Car driver,advanced,Rural,Don't have a job
NaN,Both,2010,54,Less than basic,IT Developer,advanced,Urban,Don't have a job
Single,Both,2013,65,Less than basic,Teacher,medium,Rural,Don't have a job
Single,Female,2023,34,Less than basic,Banker,advanced,Urban,Don't have a job
Single,Male,2007,42,Basic,Artist,No skill,Urban,Have a job
NaN,Both,2004,62,Basic,Car driver,No skill,Rural,Don't have a job
Married,Male,2014,65,Less than basic,Artist,NaN,Urban,Don't have a job
NaN,Female,2020,60,Advanced,IT Developer,No skill,Urban,Have a job
Married,Both,2001,55,Intermediate,Architect,low,Rural,Don't have a job
NaN,Female,2012,23,Intermediate,Banker,NaN,Urban,Have a job
Widowed,Both,2019,50,Advanced,Artist,advanced,Urban,Don't have a job
Widowed,Both,2011,54,Less than basic,Car driver,No skill,National,Have a job
Widowed,Both,2011,40,Intermediate,Car driver,No skill,Urban,Have a job
Divorced of separated legally,Male,2008,45,Basic,Car driver,medium,Rural,Don't have a job
Single,Both,2023,31,Intermediate,Teacher,low,Rural,Have a job
Married,Both,2006,46,NaN,Banker,No skill,Urban,Don't have a job
Widowed,Female,2000,29,Intermediate,Banker,No skill,Rural,Don't have a job
Married,Both,2021,42,NaN,Accountant,No skill,Rural,Have a job
NaN,Female,2013,22,Basic,Car driver,advanced,Urban,Don't have a job
Widowed,Male,2002,49,Intermediate,Teacher,medium,Rural,Don't have a job
Single,Male,2004,15,Advanced,Teacher,medium,National,Have a job
Widowed,Male,2001,63,NaN,Architect,NaN,National,Have a job
NaN,Female,2008,17,Basic,Car driver,advanced,National,Have a job
Widowed,Male,2015,63,Intermediate,Car driver,NaN,Urban,Have a job
Widowed,Both,2021,21,Intermediate,Teacher,advanced,Rural,Have a job
Single,Female,2021,47,NaN,Doctor,low,Rural,Don't have a job
Single,Male,2023,17,Intermediate,Teacher,No skill,National,Have a job
Married,Both,2006,61,Advanced,Architect,NaN,National,Don't have a job
Widowed,Both,2003,18,NaN,Teacher,NaN,Urban,Don't have a job
